#{"t_start": 1755810326.851637, "env_id": "None"}
r,l,t
558.211434,1000,1.985923
90.209825,393,2.285077
42.488841,254,2.474908
519.246462,767,4.465875
187.946651,575,4.876683
200.245205,432,5.200577
561.380323,702,7.042983
414.443388,845,7.630841
159.658318,516,7.988749
562.875929,924,9.927864
366.567637,642,10.364338
249.870075,768,10.900233
203.443491,468,12.503483
589.143586,686,13.026128
503.569925,746,13.554104
581.830875,1000,15.657414
589.011073,1000,16.40015
35.573425,335,16.642465
430.101478,610,18.494871
160.408236,436,18.806459
541.725824,656,32.990759
549.037715,648,21.16297
515.739692,554,21.537143
64.446573,323,21.767103
412.673888,719,22.27582
508.989426,696,37.88397
670.519708,1000,24.908638
501.205308,678,25.380402
439.267339,614,27.166726
765.777868,1000,27.878127
340.820761,662,29.655402
258.398914,532,30.026068
41.721031,416,30.325115
104.443801,446,30.64068
635.84943,911,32.726082
190.351858,543,33.114562
261.453568,463,33.436779
387.537745,539,33.823563
249.8966,415,35.399508
187.137761,377,35.664043
400.756241,561,36.070204
550.19754,821,38.067131
333.732001,514,38.470881
321.20358,380,38.742877
281.552384,463,39.069622
396.181903,498,39.426097
430.059989,714,41.335463
344.847495,572,41.727148
108.46017,231,41.890251
149.344123,391,42.163866
430.286845,634,43.883142
196.728526,404,57.887803
327.359125,429,44.492831
259.355364,383,44.773342
150.480508,301,44.983184
319.117166,604,46.789665
121.955187,353,47.037158
158.952016,299,47.245702
232.965032,361,47.525972
438.986505,450,47.871708
238.841863,300,49.473933
102.642514,231,49.642422
838.296439,1000,50.34936
680.471317,864,52.241648
225.618295,303,52.447474
178.0503,282,52.654788
171.120213,257,52.84256
393.068771,535,53.253561
297.949256,439,53.565748
238.814145,375,55.229812
112.807857,294,55.434765
675.748506,1000,56.113375
542.918121,1000,58.089833
76.563971,248,58.26425
284.864896,432,58.571223
535.865619,744,59.085482
755.41955,1000,61.199224
247.148001,415,61.58319
605.379268,859,63.706244
625.018817,742,77.961131
222.268886,415,64.67354
393.135235,590,65.131841
126.872544,355,66.798894
788.442608,1000,67.521908
590.289431,1000,69.688522
198.939127,363,69.972195
326.837199,365,70.24482
212.757005,450,70.566016
269.315041,270,70.799618
215.394511,411,71.097336
240.94072,402,72.748069
691.771155,1000,73.485072
613.062656,740,75.353621
393.844018,535,75.719553
459.821419,669,76.219634
382.058745,445,76.57537
319.745802,335,78.19267
696.319685,1000,78.886184
444.727598,457,92.965599
617.750107,814,81.397225
718.41535,667,81.946785
375.322972,416,82.260808
837.940515,1000,84.505906
531.250019,725,85.031955
585.046478,582,85.45945
591.232203,561,87.261018
332.647419,337,87.509812
154.369122,247,87.681755
821.643266,1000,88.386395
538.69959,492,90.034252
224.183251,322,90.255814
370.850082,425,90.56661
425.645575,422,90.863773
281.111894,350,91.118239
693.283772,724,93.047683
529.703808,636,93.491038
397.636987,662,93.974173
553.397575,497,95.749237
457.989826,545,96.144653
297.060766,276,96.33948
380.843691,406,96.631804
452.163097,485,96.975896
561.840093,596,98.786648
526.359807,615,99.211784
255.949764,310,99.435995
481.602584,463,99.783303
527.369296,504,101.545817
451.097357,608,102.014977
408.99197,346,102.305086
190.344769,244,102.485798
280.239747,303,102.700037
311.233561,374,118.100869
544.891082,543,104.783829
584.092925,847,105.389397
528.60141,397,105.663956
239.179977,300,107.206584
324.768494,331,107.435755
415.46124,483,107.794289
417.572003,364,108.063431
469.278543,539,108.498558
751.903924,890,110.441518
427.787569,405,110.78019
219.344149,285,110.985353
426.711849,414,111.284516
664.060827,771,113.262106
417.840121,418,113.601584
425.809081,465,113.954082
498.701108,396,114.268873
596.582424,690,116.09359
629.025658,868,116.715248
876.389164,740,117.308016
335.448164,438,118.970644
262.065397,339,119.220048
295.980669,463,119.596838
784.827265,766,120.135023
654.981809,670,121.966649
290.622146,364,122.226501
583.274505,591,122.658144
486.434821,536,123.050047
435.031286,381,124.672343
428.780395,559,125.071254
564.307808,575,125.490344
354.076643,426,125.838338
397.366204,521,127.530363
430.967852,514,127.950444
403.410379,469,128.281089
341.283645,361,128.534677
486.256036,484,130.141656
734.63678,650,130.591244
304.227764,358,130.850808
516.592482,664,131.32752
424.534453,462,132.970659
571.132379,524,133.340453
926.334271,746,133.878692
844.963974,844,135.908649
351.909956,438,136.229428
369.68866,409,136.530441
419.671632,378,136.799382
887.224521,851,138.788038
971.45046,975,153.21224
846.726974,938,141.445824
376.268348,377,141.708385
553.803332,635,142.168373
488.634729,390,142.444223
371.845115,557,144.212592
255.112838,383,158.2118
436.988923,455,144.851009
738.954473,1000,145.579383
983.605494,1000,147.660225
292.695713,397,147.942592
378.830952,355,148.19535
456.168622,480,149.921188
348.335756,363,150.174297
341.022984,387,150.459559
423.058275,508,150.814947
1064.419829,1000,152.858618
421.381674,541,153.239925
333.146223,326,153.491647
672.633158,747,154.017385
447.665497,382,155.53632
394.288481,353,155.779508
427.797216,368,156.045114
296.796552,345,156.286145
282.07879,334,156.525156
378.548075,427,158.085323
481.963448,408,158.368304
519.448031,420,158.664127
892.683781,930,159.33171
451.240797,386,160.977114
399.282883,423,161.263335
765.525948,721,161.771437
477.856306,419,162.082343
526.794603,526,163.84383
919.127093,1000,164.634899
574.963629,582,165.05214
609.918282,575,166.749754
440.620501,395,167.022299
408.224034,453,167.347185
1034.897525,897,168.053102
468.686178,411,169.653647
669.579199,483,170.033477
861.687254,1000,170.792795
362.370334,398,172.375672
647.265298,472,172.708329
473.660634,503,173.064545
488.851686,402,173.353591
689.019943,735,175.306078
455.050024,448,175.623111
526.073035,413,175.932337
397.149894,391,176.23138
531.322563,389,176.508956
755.537952,687,178.319536
271.59294,311,178.557358
534.710756,502,178.924682
494.59663,790,180.850553
677.703183,708,181.356317
816.757737,508,181.717554
677.317044,569,182.122354
619.692963,587,183.849177
477.001511,575,184.253839
643.584583,480,184.631018
1020.755734,978,186.755784
545.864567,532,187.139422
644.61639,768,187.704966
635.960086,532,203.149742
459.789477,387,189.736125
715.942142,785,190.285046
907.15875,738,192.167213
558.462604,453,192.486723
588.364707,465,192.822691
386.575202,370,193.078462
629.180098,604,193.518562
798.882017,795,195.539826
733.91493,530,195.966634
893.763837,722,196.487024
536.196688,496,198.16603
1113.973699,822,198.756563
439.16972,486,199.097039
359.245233,365,200.772483
489.98625,465,201.097249
958.156778,735,201.619308
926.034772,927,203.617527
839.575115,657,204.06872
790.215363,992,204.855551
1197.088086,995,206.958885
850.646589,604,207.381549
923.856752,803,209.294818
1065.339039,932,209.972967
909.013528,628,210.412891
1026.235576,894,212.445547
1129.085785,859,213.092792
1130.213094,726,215.015908
1115.52052,847,215.60208
664.624389,538,216.001534
720.294588,631,216.449588
612.901778,440,218.011906
762.580736,654,218.470019
491.119919,422,218.772691
860.310643,812,220.648033
752.479264,807,221.223905
829.632516,678,221.755998
707.872144,610,223.545726
441.321407,370,223.805718
566.183372,460,224.118744
715.633214,610,238.302697
619.97932,607,226.428519
886.322224,568,226.828304
856.631382,594,227.250273
764.40581,669,229.048754
702.868178,664,243.270395
741.675856,699,230.126816
962.159373,565,230.553385
862.201581,712,232.341782
896.730209,782,232.914937
829.992754,541,233.294274
791.756517,651,235.042343
615.844557,557,235.448763
919.055503,731,235.97355
817.239268,642,237.708277
637.764084,550,238.098789
880.565632,886,238.739365
813.723417,661,240.484754
801.507163,578,240.944998
909.176396,870,241.562372
462.344344,380,243.098698
1123.364813,874,243.740272
894.176377,721,244.249656
882.653263,784,246.104885
475.258309,432,246.418625
644.448044,534,246.802598
1021.694028,720,248.783086
1112.236295,978,263.28272
887.460237,665,250.295626
790.088549,529,251.986905
999.665195,739,252.522212
546.151062,446,252.843907
1152.321964,1000,254.856282
713.008898,623,255.291566
750.651965,620,255.759778
496.226653,504,257.598474
918.433419,746,258.133594
1092.051909,1000,258.864798
695.923633,571,260.576108
848.250707,667,261.063985
771.312679,473,261.404608
1071.98116,744,263.328863
727.813408,658,263.812406
516.832348,488,264.205884
1102.196203,875,266.15512
624.48837,493,266.562569
476.460535,491,266.913708
508.810105,416,267.208444
1022.515695,947,269.267505
1060.14075,799,269.868045
620.440714,564,270.278322
987.870239,821,272.253181
861.984104,745,272.787882
569.548443,570,288.318087
1163.319783,1000,275.301672
515.327216,511,275.653184
638.769112,466,275.981864
912.817326,761,277.873821
1154.210782,1000,278.587329
696.974341,613,280.317784
564.139647,564,280.728832
1340.845208,1000,281.488176
459.946278,322,283.199352
865.144939,556,283.582862
945.377275,764,284.1322
574.689989,525,284.499177
545.316125,381,286.173396
819.045834,583,286.581744
1296.011471,842,287.183487
932.981586,1000,289.368482
450.621167,663,289.897065
1065.145725,816,292.071872
820.443719,496,292.418779
801.550101,721,292.938217
657.325953,577,293.344442
904.435207,560,295.117552
554.650583,443,295.438805
848.059237,739,295.974678
977.005191,767,297.850672
826.498733,618,298.297422
1174.090075,822,298.88997
166.306015,381,300.42645
1023.036862,945,301.09812
1065.735936,854,301.715449
538.332333,530,303.389049
388.375204,422,303.687655
716.089061,698,304.183045
1046.139069,672,305.973378
1319.958566,887,306.601428
744.365663,660,307.117873
572.173209,564,308.72451
854.782489,713,309.250206
1431.694793,984,309.983656
814.38138,478,311.67798
842.048323,585,312.096095
1033.751208,746,312.615663
911.58766,592,314.386422
784.215929,634,314.871508
948.582997,689,315.353181
821.846293,529,315.724669
864.089667,705,317.427428
1152.234376,857,318.043821
1443.689501,1000,320.088862
747.423275,508,320.456717
884.114778,823,321.047148
871.000712,624,322.874043
713.673918,511,323.244867
788.126464,727,323.810641
655.855802,406,325.495531
765.002276,727,326.008643
549.519059,527,326.383
666.91759,709,326.902529
703.813121,472,328.494147
949.563235,569,328.89838
763.766342,573,329.303211
602.879964,548,331.030454
791.561165,513,331.387281
946.22887,875,332.015849
690.643451,515,332.421901
628.13026,656,334.24192
